,real_target,QS-Prediction,AS-Prediction
1045,astigmatism : treatments,astigmatism is a common disease . it is common to,keratoconus : treatments physiology : treatment physiologie - treatments . physiologic astigmatism
1046,strongyloidiasis : symptoms,strongyloidiasis symptoms : symptoms . .,strongyloidiasis : physiology : symptoms . physiologic sclerosis : diagnosis
1047,pseudomyxoma peritonei : general,pseudomyxoma peritoneia : a,pseudomyxoma peritonei . hepatitis c : physiology : causes physiologic
1048,erdheim–chester disease : symptoms,erdheim–chester disease symptom : symptoms of .,long bone involvement . ecd disease : symptoms : diagnosis . expert expert expert : diagnose physiology
1049,capgras delusion : general,[{'summary_text': "capgras delusion : 'it's a"}],[{'summary_text': "capgras delusion . he says it is a delusional misidentification syndrome . france's psychiatric system ."}]
1050,hepatic encephalopathy : general,hepatic encephalopathy : symptomatic .,hepatic encephalopathy : physiology : symptoms : causes . socioeconomic factors factors : treatments
1051,glioblastoma : prevention,glioblastoma : prevention of . .,glioblastoma . there are no known methods to prevent it . gynasis : prevention
1052,tonsillitis : causes,tonsillitis is a common cause of a coma ,tonsillitis : physiology - causes : causes physiologic : symptoms : treatments : diagnostic : diagnosis : prevention
1053,transfusion-related acute lung injury : general,transfusion-related acute lung injury : a . .,transfusion-related acute lung injury . he says trali is a serious blood transfusion complication . death toll : causes
1054,thyroid nodule : general,thyroid nodule : a systomy ,thyroid nodule : causes physiology : symptoms . physiologic thyroid cancer : physiological diagnosis : treatments
1055,minnesota multiphasic personality inventory : general,minnesota multiphasic personality inventory . .,minnesota multiphasic personality inventory . mmpi is a standardized psychometric test of adult personality .
1056,aneurysm : general,aneurysm is the most common disease in the world .,"aneurysm : physiology : causes physiological . causes: causes, causes; causes . physiologies ; causes"
1057,adrenal insufficiency : general,adrenal insufficiency is the most common condition in the world ,adrenal insufficiency : physiology : causes : symptoms : treatments : general : conditions : diagnosis : diagnostics
1058,tularemia : treatments,tularemia is a chronic disease . it can lead to,gentamicin : treatments physiology : treatment . san francisco-based disease . treatments
1059,cholestasis : symptoms,cholestasis symptoms : symptoms of . .,cholestasis : physiology : causes physiological . physiologic syndrome : symptoms . sociology: causes
1060,frostbite : treatments,frostbite : treatments for the public . click here for,frostbite : prevention : treatments : interventions . experts: treatments: treatments; treatments; treatment; treatments ; treatments: prevention
1061,glaucoma : diagnosis,glaucoma symptom : diagnosis . hepati,eye glaucoma : treatments physiology . physiologic glaus ; treatments : symptoms : diagnosis
1062,enophthalmos : general,enophthalmose : a symptomatic .,enophthalmos : physiology : general physiologies - general : causes . physiologic syndrome : symptoms
1063,hepatorenal syndrome : prevention,hepatorenal syndrome is the most common condition in the world,esophagogastroduodenoscopy : physiology : treatments : prevention : interventions . cirrhosis : diagnosis
1064,diabetic retinopathy : diagnosis,diabetic retinopathy : diagnosis of a symptom ,diabetic retinopathy : diagnosis physiology : treatments : diagnostic physiologies . san francisco-based diabetes : diagnose
1065,multiple myeloma : diagnosis,multiple myeloma : diagnosis of . .,asymptomatic myeloma . he says he can predict if he or she can conceive a diagnosis . she says diagnosis : diagnosis
1066,hamartoma : general,[{'summary_text': "hamartoma : 'it's a"}],hamartoma : physiology : causes physiologic : treatments . socio-political disease : symptoms
1067,tropical spastic paraparesis : treatments,tropical spastic paraparesis : treatments . ,tropical spastic paraparesis . treatment of tsp involves corticosteroids . valproic acid and zidovudine .
1068,sparganosis : diagnosis,sparganosis is a rare disease . it can cause,eosinophilia . hepatitis c . disease . diagnosis : diagnosis physiology
1069,dehydration : general,dehydration : a common symptom . a ,dehydration : causes : physiology : general : treatments : symptoms : diagnostics : diagnosis : interventions : prevention
1070,meningioma : physiology,meningioma : physiology . .,meningioma : physiology : causes . sylvian arachnoidal somatosis : symptoms
1071,perioral dermatitis : symptoms,perioral dermatitis : symptoms of . .,perioral dermatitis . symptoms include adolescence . bronchitis : physiology
1072,shyness : treatments,shyness is the most common disorder in the world . it can be,shyness : treatments - treatments : interventions . experts: treatments to treat psychiatric phobia : prevention
1073,spinal cord compression : general,spinal cord compression : a systomy .,"spinal cord compression . causes include a vertebral fracture, a tumor, abscess . requires diagnosis and treatment to prevent long-term disability ."
1074,comparative psychology : general,comparative psychology : a symphony .,comparative psychology . he says it focuses on proximate and ultimate causation . behavior : physiology
1075,bleeding diathesis : general,bleeding diathesis : a common symptom . .,bleeding diathesis : physiology : causes . symbiotic coagulopathy : symptoms : treatments
1076,intertrigo : treatments,[{'summary_text': "intertrigo's treatments are a common practice . ."}],intertrigo . hepatitis c - a symptom : treatments - treatments . treatments: treatments
1077,hemoglobin c : general,hemoglobin c : systoma ,hemoglobin c . it occurs at the 6th position of the hbb|-globin chain . a lysine residue is substituted with a glutamic acid .
1078,air embolism : physiology,air embolism is a physiology . it can be,venous air embolism : physiology : causes . symbiosis : symptoms
1079,isochromosome : physiology,isochromosome physiology : physiotherapy .,isochromosome : physiology - physiologie : causes : mechanisms physiologique : treatments : general
1080,heart failure : physiology,heart failure a physiology . euphoria,heart failure : physiology - causes : causes physiologic : mechanisms physiologique : treatments : symptoms : diagnosis: causes
1081,rumination syndrome : physiology,rumination syndrome : physiology . hepati,rumination syndrome : physiology : causes physiologic syndrome - causes - physiologies : symptoms : treatments
1082,factitious disorder : general,factitious disorder : a symbiotic .,factitious disorder imposed on self . he says he believes he is a victim of a traumatic brain injury . but he argues he does not believe he has a cure .
1083,brain tumor : diagnosis,brain tumor is a common disease in the u.s .,"oligodendroglioma brain tumor . symptoms include aphasia, apoptosis : diagnosis"
1084,vertebral artery dissection : symptoms,vertebral artery dissection . symptoms : symptoms .,"vertebral artery dissection . symptoms include headache, headache, throbbing . physiology : causes . causes"
1085,nephrotic syndrome : causes,nephrotic syndrome is a chronic disease . .,glomerulonephritis : physiology : causes . nephrotic syndrome : symptoms
1086,ramsay hunt syndrome type 2 : prevention,ramsay hunt syndrome type 2 is a symptomatic disorder ,varicella zoster . shingles : prevention - prevention . prevention : prévention : treatments . consultant .
1087,tuberous sclerosis : physiology,tuberous sclerosis physiology : physio . ,hamartin and tuberin : physiology - physiologie - diagnosis . sociology : causes
1088,interstitial nephritis : general,interstitial nephritis : a ,interstitial nephritis : physiology - physiologie . physiologic disease : causes
1089,nocardiosis : diagnosis,nocardiosis : diagnosis of . . symptoms ,"nocardiosis . diagnosis can be made by a doctor . bronchoscopy, sputum culture : diagnosis"
1090,leishmaniasis : causes,leishmaniasis : causes of . . click here,leishmaniasis : physiology : symptoms : causes . socioeconomic factors : mechanisms physiological factors
1091,hereditary motor and sensory neuropathy : diagnosis,hereditary motor and sensory neuropathy : diagnosis . .,charcot–marie–tooth disease . diagnosis : diagnosis physiology : diagnoses physiologic . epidemiology : treatments
1092,borderline personality disorder : general,borderline personality disorder is a disorder characterized by a personality disorder,"borderline personality disorder (bpd) is a mental disorder . it is characterized by a long-term pattern of unstable interpersonal relationships . substance abuse, depression, eating disorders : general"
1093,chronic mucocutaneous candidiasis : general,chronic mucocutaneous candidiasis : symptom .,chronic mucocutaneous candidiasis . causes : physiology : causes - causes . symptoms : symptoms
1094,angioleiomyoma : general,angioleiomyoma is the most common disease .,angioleiomyoma : physiology : causes . symptoms : symptoms and symptoms . physiologic syndrome
1095,glossitis : diagnosis,glossitis is a common disorder . it can be diagnosed with,classification glossitis : physiology : symptoms : causes . physiologic sclerosis : diagnosis
